id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,3547,39,7,56,17,12,no,no,2
2,2323,17,16,10,19,28,no,no,5
3,650,23,28,6,12,4,no,yes,1
4,560,21,12,6,11,6,yes,no,2
5,3443,34,3,60,21,20,no,no,5
6,4196,33,7,16,15,12,yes,no,1
7,1186,18,12,6,12,4,no,yes,1
8,674,22,8,14,11,4,no,yes,1
9,908,18,12,10,13,8,yes,no,2
10,1238,17,8,2,19,6,no,no,1
11,2521,21,24,2,21,12,no,no,1
12,3298,33,1,56,21,28,no,no,4
13,3085,33,3,60,23,28,no,no,4
14,3288,32,5,16,23,30,yes,no,4
15,1734,22,8,6,15,10,no,no,2
16,3448,38,5,28,21,12,yes,no,1
17,4107,31,5,32,23,24,no,no,5
18,1022,15,12,6,12,8,no,yes,1
19,2351,23,16,14,15,14,no,no,2
20,712,17,24,10,11,4,yes,no,2
21,3258,38,5,56,19,16,no,no,1
22,1242,16,8,6,19,10,no,no,2
23,3245,36,5,32,21,24,no,no,5
24,1246,17,16,6,23,8,no,no,2
25,2490,23,24,2,21,18,no,no,5
26,1755,19,20,2,15,8,no,no,1
27,1575,16,16,2,23,4,no,no,1
28,3348,30,5,56,17,12,yes,no,2
29,1615,20,8,6,15,6,no,no,2
30,1056,24,12,10,12,10,yes,no,2
31,3778,32,1,20,21,18,no,no,5
32,2797,18,24,2,23,22,no,no,5
33,1247,16,8,6,15,4,no,no,2
34,1686,22,24,14,17,8,no,no,1
35,2894,24,8,10,19,22,no,no,4
36,2659,18,16,2,15,20,no,no,4
37,755,23,20,14,11,8,no,yes,2
38,3496,36,7,60,19,28,yes,no,4
39,2426,24,8,6,21,24,no,no,4
40,3361,35,3,52,23,12,no,no,1
41,809,17,8,10,12,6,no,yes,1
42,1793,19,12,6,21,10,no,no,1
43,2389,23,20,10,19,14,no,no,1
44,2990,24,20,6,19,16,no,no,1
45,1400,20,28,14,21,8,yes,no,1
46,917,17,20,10,12,8,no,yes,2
47,3362,35,5,36,15,28,no,no,4
48,844,21,8,6,13,10,yes,no,2
49,2484,23,8,2,17,12,yes,no,2
50,3102,39,7,28,21,20,no,no,4
51,1297,24,20,6,15,10,no,no,1
52,2439,21,28,10,17,20,no,no,5
53,2443,16,12,6,15,26,no,no,4
54,2394,17,20,2,21,14,no,no,1
55,1681,19,20,10,15,6,no,no,1
56,2550,15,16,14,19,30,no,no,5
57,3281,33,3,36,19,14,no,no,2
58,3674,38,7,52,23,16,no,no,1
59,2691,16,16,6,15,22,no,no,5
60,3046,32,7,40,23,18,no,no,4
61,2647,19,24,10,15,30,no,no,5
62,4119,32,1,28,17,26,no,no,5
63,3960,32,3,40,15,26,yes,no,4
64,2785,17,28,10,17,20,no,no,4
65,2217,21,16,6,17,28,no,no,4
66,693,17,20,6,12,4,no,yes,2
67,3185,34,1,16,15,26,no,no,4
68,2823,22,20,6,17,12,no,no,2
69,3991,31,1,32,21,26,no,no,5
70,1840,17,12,14,17,6,yes,no,1
71,3712,39,3,28,15,22,yes,no,4
72,600,22,24,10,13,6,yes,no,1
73,855,15,24,10,12,8,no,yes,1
74,1742,22,28,14,15,4,no,no,2
75,4304,30,7,60,19,20,yes,no,5
76,1488,22,12,10,23,4,yes,no,1
77,3002,31,7,56,23,24,no,no,4
78,2531,16,24,6,23,20,no,no,4
79,716,22,16,2,13,4,yes,no,2
80,4233,37,5,44,21,16,no,no,2
81,3223,36,1,24,15,14,no,no,1
82,2758,15,24,2,15,26,no,no,4
83,568,22,20,14,12,6,yes,no,2
84,3216,35,7,60,19,24,yes,no,5
85,2406,17,8,14,21,20,no,no,5
86,3896,30,1,48,23,14,yes,no,1
87,726,24,20,10,11,6,no,yes,1
88,1187,21,24,6,11,8,no,yes,2
89,3616,35,5,44,21,30,yes,no,4
90,3818,31,3,52,15,20,no,no,5
91,2940,23,28,14,23,14,yes,no,2
92,962,23,20,10,13,10,no,yes,2
93,3899,32,1,44,21,18,no,no,5
94,1610,24,12,2,23,10,no,no,1
95,3452,35,3,44,19,26,yes,no,5
96,3213,30,5,32,15,26,no,no,4
97,1137,22,16,10,12,4,no,yes,2
98,1453,21,20,2,17,4,no,no,1
99,3710,31,3,16,21,16,no,no,1
100,1401,15,8,6,19,4,no,no,1
101,2798,19,16,10,17,20,no,no,5
102,1355,22,28,14,23,4,no,no,1
103,2145,22,20,10,15,14,no,no,2
104,3219,30,5,60,17,28,no,no,5
105,1431,24,12,6,19,6,no,no,2
106,1385,15,12,2,21,4,no,no,1
107,3612,39,5,20,15,22,yes,no,5
108,2602,19,20,14,21,22,no,no,4
109,3817,36,7,36,19,16,no,no,1
110,1607,16,12,2,15,4,no,no,1
111,4019,35,1,44,17,12,no,no,1
112,2160,17,8,14,19,22,yes,no,4
113,1328,15,12,6,21,4,yes,no,2
114,1360,18,24,14,17,8,yes,no,1
115,3409,32,7,16,19,28,no,no,5
116,1383,15,16,14,19,6,no,no,2
117,3561,38,3,28,15,22,no,no,5
118,3091,38,7,44,21,22,no,no,4
119,3679,35,7,16,17,14,no,no,1
120,3802,37,7,20,23,30,no,no,5
121,3810,33,1,24,19,26,no,no,5
122,1436,24,24,2,15,6,yes,no,2
123,1889,18,8,10,23,8,no,no,2
124,3119,32,1,28,21,18,no,no,4
125,2865,16,28,6,19,30,no,no,4
126,1896,22,8,6,23,4,yes,no,2
127,2360,17,16,10,21,14,yes,no,1
128,582,22,16,6,12,6,no,yes,2
129,2262,16,28,10,17,28,no,no,4
130,3875,35,3,24,19,16,no,no,2
131,4131,37,7,60,21,26,no,no,5
132,1253,23,16,6,23,4,no,no,1
133,3037,39,1,16,17,20,no,no,4
134,2720,24,12,6,17,20,yes,no,5
135,2341,20,8,2,21,28,no,no,4
136,3665,30,3,16,17,22,no,no,5
137,4053,38,1,60,23,30,no,no,5
138,3720,38,3,24,23,26,yes,no,4
139,2459,20,24,6,15,24,no,no,5
140,832,24,24,10,12,8,yes,no,2
141,4111,36,7,16,21,24,no,no,5
142,1058,23,12,2,13,6,no,yes,1
143,2174,24,28,14,19,26,no,no,4
144,4127,30,7,52,23,28,no,no,4
145,3870,33,1,16,19,20,no,no,5
146,2961,22,8,2,17,28,no,no,4
147,3785,33,1,32,15,14,no,no,1
148,2946,18,8,14,15,28,no,no,5
149,2217,20,16,2,23,18,no,no,4
150,1321,16,8,6,17,10,no,no,2
151,1375,17,16,14,23,4,no,no,1
152,2722,18,16,10,23,26,no,no,4
153,2338,16,8,2,15,26,no,no,4
